,window,main_category,count
0,"Row(start=datetime.datetime(2021, 10, 22, 23, 35, 10), end=datetime.datetime(2021, 10, 22, 23, 35, 20))",cond-mat,1
1,"Row(start=datetime.datetime(2021, 10, 22, 23, 35, 10), end=datetime.datetime(2021, 10, 22, 23, 35, 20))",cs,2
2,"Row(start=datetime.datetime(2021, 10, 22, 23, 35, 10), end=datetime.datetime(2021, 10, 22, 23, 35, 20))",gr-qc,1
3,"Row(start=datetime.datetime(2021, 10, 22, 23, 35, 10), end=datetime.datetime(2021, 10, 22, 23, 35, 20))",astro-ph,1
4,"Row(start=datetime.datetime(2021, 10, 22, 23, 35, 10), end=datetime.datetime(2021, 10, 22, 23, 35, 20))",hep-ph,1
