,window,main_category,avg(page_num)
0,"Row(start=datetime.datetime(2021, 10, 22, 23, 35), end=datetime.datetime(2021, 10, 22, 23, 35, 10))",eess,6.0
1,"Row(start=datetime.datetime(2021, 10, 22, 23, 35), end=datetime.datetime(2021, 10, 22, 23, 35, 10))",cs,17.5
