,window,main_category,count
0,"Row(start=datetime.datetime(2021, 10, 22, 23, 34), end=datetime.datetime(2021, 10, 22, 23, 34, 10))",cond-mat,3
1,"Row(start=datetime.datetime(2021, 10, 22, 23, 34), end=datetime.datetime(2021, 10, 22, 23, 34, 10))",astro-ph,1
2,"Row(start=datetime.datetime(2021, 10, 22, 23, 34), end=datetime.datetime(2021, 10, 22, 23, 34, 10))",nucl-th,1
3,"Row(start=datetime.datetime(2021, 10, 22, 23, 34), end=datetime.datetime(2021, 10, 22, 23, 34, 10))",math,3
4,"Row(start=datetime.datetime(2021, 10, 22, 23, 34), end=datetime.datetime(2021, 10, 22, 23, 34, 10))",cs,4
