,window,main_category,count
0,"Row(start=datetime.datetime(2021, 10, 22, 23, 34, 50), end=datetime.datetime(2021, 10, 22, 23, 35))",quant-ph,1
1,"Row(start=datetime.datetime(2021, 10, 22, 23, 34, 50), end=datetime.datetime(2021, 10, 22, 23, 35))",stat,1
2,"Row(start=datetime.datetime(2021, 10, 22, 23, 34, 50), end=datetime.datetime(2021, 10, 22, 23, 35))",gr-qc,1
3,"Row(start=datetime.datetime(2021, 10, 22, 23, 34, 50), end=datetime.datetime(2021, 10, 22, 23, 35))",math,3
4,"Row(start=datetime.datetime(2021, 10, 22, 23, 34, 50), end=datetime.datetime(2021, 10, 22, 23, 35))",cs,6
