,window,main_category,count
0,"Row(start=datetime.datetime(2021, 10, 22, 23, 35, 20), end=datetime.datetime(2021, 10, 22, 23, 35, 30))",cs,2
1,"Row(start=datetime.datetime(2021, 10, 22, 23, 35, 20), end=datetime.datetime(2021, 10, 22, 23, 35, 30))",cond-mat,1
2,"Row(start=datetime.datetime(2021, 10, 22, 23, 35, 20), end=datetime.datetime(2021, 10, 22, 23, 35, 30))",astro-ph,1
3,"Row(start=datetime.datetime(2021, 10, 22, 23, 35, 20), end=datetime.datetime(2021, 10, 22, 23, 35, 30))",math,1
4,"Row(start=datetime.datetime(2021, 10, 22, 23, 35, 20), end=datetime.datetime(2021, 10, 22, 23, 35, 30))",quant-ph,2
5,"Row(start=datetime.datetime(2021, 10, 22, 23, 35, 20), end=datetime.datetime(2021, 10, 22, 23, 35, 30))",math-ph,1
