,window,main_category,count
0,"Row(start=datetime.datetime(2021, 10, 22, 23, 34, 40), end=datetime.datetime(2021, 10, 22, 23, 34, 50))",cond-mat,1
1,"Row(start=datetime.datetime(2021, 10, 22, 23, 34, 40), end=datetime.datetime(2021, 10, 22, 23, 34, 50))",cs,3
