,window,main_category,count
0,"Row(start=datetime.datetime(2021, 10, 22, 23, 34, 20), end=datetime.datetime(2021, 10, 22, 23, 34, 30))",cs,5
1,"Row(start=datetime.datetime(2021, 10, 22, 23, 34, 20), end=datetime.datetime(2021, 10, 22, 23, 34, 30))",cond-mat,4
2,"Row(start=datetime.datetime(2021, 10, 22, 23, 34, 20), end=datetime.datetime(2021, 10, 22, 23, 34, 30))",q-bio,1
3,"Row(start=datetime.datetime(2021, 10, 22, 23, 34, 20), end=datetime.datetime(2021, 10, 22, 23, 34, 30))",gr-qc,1
4,"Row(start=datetime.datetime(2021, 10, 22, 23, 34, 20), end=datetime.datetime(2021, 10, 22, 23, 34, 30))",hep-th,1
5,"Row(start=datetime.datetime(2021, 10, 22, 23, 34, 20), end=datetime.datetime(2021, 10, 22, 23, 34, 30))",math,4
